previewURL,pageURL,id,user_id,user,likes,views,downloads,tags,category,likes_per_view,download_ratio
https://cdn.pixabay.com/photo/2022/11/20/09/44/seascape-7603920_150.jpg,https://pixabay.com/photos/seascape-rocky-coast-coastline-bay-7603920/,7603920,14802912,dendoktoor,56,6944,6621,"seascape, rocky coast, coastline",high,0.008064516129032258,0.9534850230414746
https://cdn.pixabay.com/photo/2023/06/06/12/31/buildings-8044538_150.jpg,https://pixabay.com/photos/buildings-towers-skyscrapers-modern-8044538/,8044538,11873433,Surprising_SnapShots,21,2960,2889,"buildings, towers, skyscrapers",high,0.007094594594594595,0.9760135135135135
https://cdn.pixabay.com/photo/2016/12/08/05/49/tall-buildings-1891030_150.jpg,https://pixabay.com/photos/tall-building-glass-windows-dense-1891030/,1891030,3532692,pony96,9,3193,1129,"tall building, glass, windows",low,0.0028186658315064203,0.35358596930786096
https://cdn.pixabay.com/photo/2016/11/29/07/04/aerial-1867987_150.jpg,https://pixabay.com/photos/aerial-architecture-building-1867987/,1867987,2286921,Pexels,24,4810,2627,"aerial, architecture, building",high,0.00498960498960499,0.5461538461538461
https://cdn.pixabay.com/photo/2019/10/04/11/45/lookout-4525380_150.jpg,https://pixabay.com/photos/lookout-bratislava-ufo-buildings-4525380/,4525380,6355831,pasja1000,34,4788,3748,"lookout, bratislava, ufo",high,0.007101086048454469,0.7827903091060986
https://cdn.pixabay.com/photo/2019/12/19/16/48/canton-4706568_150.jpg,https://pixabay.com/photos/guangzhou-pearl-river-cbd-sky-4706568/,4706568,10338660,cxh2018,16,6718,4078,"guangzhou, pearl river, cbd",high,0.0023816612086930635,0.6070259005656445
https://cdn.pixabay.com/photo/2015/08/07/07/52/shanghai-879063_150.jpg,https://pixabay.com/photos/shanghai-sky-building-street-879063/,879063,537027,SeanSheng,10,5228,2736,"shanghai, sky, building",low,0.0019127773527161439,0.523335883703137
https://cdn.pixabay.com/photo/2017/04/21/07/46/canton-2247841_150.jpg,https://pixabay.com/photos/guangzhou-heavy-rain-tall-building-2247841/,2247841,4876131,rdqing,9,4653,2478,"guangzhou, heavy rain, tall building",low,0.0019342359767891683,0.5325596389426177
https://cdn.pixabay.com/photo/2017/03/27/14/42/architecture-2179128_150.jpg,https://pixabay.com/photos/architecture-building-business-city-2179128/,2179128,2286921,Pexels,24,3977,2047,"architecture, building, business",high,0.0060346995222529546,0.5147095800854916
https://cdn.pixabay.com/photo/2019/12/12/10/10/glass-building-4690333_150.jpg,https://pixabay.com/photos/glass-building-skyscraper-4690333/,4690333,12169652,crimsondreaming,8,3356,2273,"glass building, skyscraper, architecture",low,0.0023837902264600714,0.6772943980929678
https://cdn.pixabay.com/photo/2019/10/02/17/40/ufo-4521538_150.jpg,https://pixabay.com/photos/ufo-the-observation-deck-bratislava-4521538/,4521538,6355831,pasja1000,29,3376,2038,"ufo, the observation deck, bratislava",high,0.0085900473933649291,0.6036729857819905
https://cdn.pixabay.com/photo/2017/07/24/17/56/building-2535566_150.jpg,https://pixabay.com/photos/building-night-city-architecture-2535566/,2535566,5936078,coltsfan,48,6852,3878,"building, night, city",high,0.0070052539404553416,0.5659661412726211
https://cdn.pixabay.com/photo/2015/05/25/16/16/building-783553_150.jpg,https://pixabay.com/photos/building-the-scenery-tall-building-783553/,783553,1055822,xyxy33,10,4529,850,"building, the scenery, tall building",low,0.00220799293442261,0.18767939942592185
https://cdn.pixabay.com/photo/2018/07/31/05/16/dubai-3574226_150.jpg,https://pixabay.com/photos/dubai-city-skyscrapers-modern-3574226/,3574226,9439292,jonramlan,24,6219,2984,"dubai, city, skyscrapers",high,0.003859141341051616,0.4798199067374176
https://cdn.pixabay.com/photo/2014/10/27/08/14/shanghai-504795_150.jpg,https://pixabay.com/photos/shanghai-sky-building-street-504795/,504795,537027,SeanSheng,7,4529,1866,"shanghai, sky, building",low,0.0015455950540958269,0.412011481563259
https://cdn.pixabay.com/photo/2017/03/27/13/04/architecture-2178592_150.jpg,https://pixabay.com/photos/architecture-building-business-city-2178592/,2178592,2286921,Pexels,19,4655,2831,"architecture, building, business",high,0.004081632653061225,0.6081632653061224
https://cdn.pixabay.com/photo/2020/01/23/08/36/new-york-4787181_150.jpg,https://pixabay.com/photos/new-york-view-panoramas-manhattan-4787181/,4787181,5275305,nextvoyage,18,2938,2078,"new york, view, panoramas",high,0.006126616746085773,0.7072838665759019
https://cdn.pixabay.com/photo/2017/06/28/22/42/downtown-new-york-2452459_150.jpg,https://pixabay.com/photos/downtown-new-york-tall-buildings-2452459/,2452459,4321967,jjorstad,8,3277,1977,"downtown new york, tall buildings, greeenwich street n",low,0.0024412572474824534,0.6032956972841013
https://cdn.pixabay.com/photo/2018/02/14/02/20/skyline-3151985_150.jpg,https://pixabay.com/photos/skyline-city-cityscape-3151985/,3151985,3317867,BCUPBOY,11,5084,2802,"skyline, city, cityscape",low,0.0021636506687647524,0.5511408339889851
https://cdn.pixabay.com/photo/2016/02/16/15/35/tokyo-1203453_150.jpg,https://pixabay.com/photos/tokyo-skytree-japan-building-tall-1203453/,1203453,2049827,Joseph82,11,2782,1326,"tokyo, skytree, japan",low,0.003953989935298346,0.4766355140186916
https://cdn.pixabay.com/photo/2019/07/12/12/26/chengdu-tianfu-international-financial-center-4332759_150.jpg,https://pixabay.com/photos/chengdu-tianfu-international-financial-c-4332759/,4332759,3260472,lxclb,16,5590,3182,"chengdu tianfu international financial center, international financial center, building",high,0.0028622540250447226,0.5692307692307692
https://cdn.pixabay.com/photo/2016/11/23/15/25/architecture-1853502_150.jpg,https://pixabay.com/photos/architecture-buildings-city-1853502/,1853502,2286921,Pexels,19,5139,2118,"architecture, buildings, city",high,0.0036972173574625414,0.4121424401634559
https://cdn.pixabay.com/photo/2017/09/22/16/46/navy-pier-2776320_150.jpg,https://pixabay.com/photos/navy-pier-chicago-skyline-river-view-2776320/,2776320,858265,858265,7,5381,2549,"navy pier, chicago skyline, river view",low,0.0013008734435978444,0.47370377253298646
https://cdn.pixabay.com/photo/2015/05/03/19/08/shanghai-751585_150.jpg,https://pixabay.com/photos/shanghai-smoke-black-and-white-fog-751585/,751585,991381,beludise,8,3975,1276,"shanghai, smoke, black and white",low,0.002012578616352201,0.3210062893081761
https://cdn.pixabay.com/photo/2018/01/25/23/00/architecture-3107302_150.jpg,https://pixabay.com/photos/architecture-office-business-3107302/,3107302,5275305,nextvoyage,11,4882,2825,"architecture, office, business",low,0.0022531749283080703,0.5786562884063908
https://cdn.pixabay.com/photo/2019/11/08/16/09/apartment-building-4611767_150.jpg,https://pixabay.com/photos/apartment-building-building-4611767/,4611767,4161274,ArtisticOperations,12,4155,2983,"apartment building, building, high rise architecture",low,0.002888086642599278,0.7179302045728039
https://cdn.pixabay.com/photo/2013/03/01/19/27/vienna-88369_150.jpg,https://pixabay.com/photos/vienna-austria-international-center-88369/,88369,12019,12019,9,5296,2251,"vienna, austria, international center",low,0.0016993957703927492,0.42503776435045315
https://cdn.pixabay.com/photo/2018/02/24/23/05/architecture-3179435_150.jpg,https://pixabay.com/photos/architecture-city-the-skyscraper-3179435/,3179435,5275305,nextvoyage,17,5439,3173,"architecture, city, the skyscraper",high,0.003125574554145983,0.583379297665012
https://cdn.pixabay.com/photo/2016/06/26/23/00/building-1481537_150.jpg,https://pixabay.com/photos/building-glass-architecture-office-1481537/,1481537,1860391,VariousPhotography,10,6219,3663,"building, glass, architecture",low,0.0016079755587715067,0.5890014471780028
https://cdn.pixabay.com/photo/2019/03/07/20/52/dubai-4041087_150.jpg,https://pixabay.com/photos/dubai-city-architecture-sky-4041087/,4041087,5275305,nextvoyage,14,3266,1779,"dubai, city, architecture",low,0.004286589099816289,0.5447030006123699
https://cdn.pixabay.com/photo/2016/10/19/04/58/chongqing-1752153_150.jpg,https://pixabay.com/photos/chongqing-night-view-tall-building-1752153/,1752153,3500668,dadaxi123ab,14,5979,2299,"chongqing, night view, tall building",low,0.0023415286837263757,0.3845124602776384
https://cdn.pixabay.com/photo/2018/04/09/18/35/city-3305023_150.jpg,https://pixabay.com/photos/city-modern-urban-building-3305023/,3305023,1178825,JimBear,11,4016,1968,"city, modern, urban",low,0.0027390438247011954,0.4900398406374502
https://cdn.pixabay.com/photo/2020/02/29/23/03/new-york-4891327_150.jpg,https://pixabay.com/photos/new-york-view-4891327/,4891327,5275305,nextvoyage,12,3238,2507,"new york, view, the empire state building",low,0.0037059913526868438,0.7742433600988264
https://cdn.pixabay.com/photo/2018/01/17/08/23/the-skyscraper-3087704_150.jpg,https://pixabay.com/photos/the-skyscraper-city-3087704/,3087704,5275305,nextvoyage,12,6572,3365,"the skyscraper, city, silhouette against the sky",low,0.0018259281801582471,0.5120206938527084
https://cdn.pixabay.com/photo/2016/11/29/09/46/architecture-1868792_150.jpg,https://pixabay.com/photos/architecture-bell-tower-bells-1868792/,1868792,2286921,Pexels,20,5962,3605,"architecture, bell tower, bells",high,0.0033545790003354577,0.6046628648104663
https://cdn.pixabay.com/photo/2019/12/09/03/44/shenzhen-4682612_150.jpg,https://pixabay.com/photos/shenzhen-nanshan-sunset-sky-4682612/,4682612,9462702,Charlottees,17,6352,3552,"shenzhen, desktop backgrounds, nanshan",high,0.0026763224181360202,0.5591939546599496
https://cdn.pixabay.com/photo/2018/07/30/02/01/skyline-3571615_150.jpg,https://pixabay.com/photos/skyline-new-york-3571615/,3571615,9103476,CarlosAlcazar,10,3380,2162,"skyline, new york, one world trade center",low,0.0029585798816568047,0.6396449704142012
https://cdn.pixabay.com/photo/2016/06/26/23/00/building-1481534_150.jpg,https://pixabay.com/photos/building-glass-architecture-office-1481534/,1481534,1860391,VariousPhotography,12,6550,3859,"building, glass, architecture",low,0.00183206106870229,0.5891603053435115
https://cdn.pixabay.com/photo/2013/07/18/15/06/empire-state-building-164517_150.jpg,https://pixabay.com/photos/empire-state-building-new-york-164517/,164517,14,PublicDomainPictures,12,6220,3242,"empire state building, new york, new york city",low,0.0019292604501607716,0.5212218649517685
https://cdn.pixabay.com/photo/2013/05/14/23/51/eiffel-111244_150.jpg,https://pixabay.com/photos/eiffel-tower-paris-france-night-111244/,111244,35069,35069,7,2956,1059,"eiffel, tower, paris",low,0.002368064952638701,0.35825439783491203
https://cdn.pixabay.com/photo/2017/12/07/08/09/bridge-3003372_150.jpg,https://pixabay.com/photos/bridge-new-york-brooklyn-city-3003372/,3003372,7174538,mromerorta,13,4142,2385,"bridge, new york, brooklyn",low,0.0031385803959439883,0.5758087880251086
https://cdn.pixabay.com/photo/2018/05/21/22/16/dubai-3419788_150.jpg,https://pixabay.com/photos/dubai-the-skyscraper-skyscrapers-3419788/,3419788,5275305,nextvoyage,6,2890,1789,"dubai, the skyscraper, skyscrapers",low,0.0020761245674740486,0.6190311418685122
https://cdn.pixabay.com/photo/2018/04/10/20/53/city-3308745_150.jpg,https://pixabay.com/photos/city-architecture-the-skyscraper-3308745/,3308745,5275305,nextvoyage,14,5613,3482,"city, architecture, the skyscraper",low,0.002494209869944771,0.6203456262248352
https://cdn.pixabay.com/photo/2014/04/10/11/00/corridor-320856_150.jpg,https://pixabay.com/photos/corridor-massive-interior-hall-320856/,320856,218520,nivekneerg35,6,5282,2631,"corridor, massive, interior",low,0.001135933358576297,0.49810677773570616
https://cdn.pixabay.com/photo/2014/05/18/19/23/san-antonio-347431_150.jpg,https://pixabay.com/photos/san-antonio-city-cityscape-347431/,347431,10388,Goodfreephotos_com,6,4717,2296,"san antonio, city, cityscape",low,0.0012719949120203519,0.486750052999788
https://cdn.pixabay.com/photo/2012/12/19/18/26/philadelphia-71210_150.jpg,https://pixabay.com/photos/philadelphia-downtown-city-building-71210/,71210,12019,12019,10,4883,1920,"philadelphia, downtown, city",low,0.0020479213598197828,0.39320090108539835
https://cdn.pixabay.com/photo/2017/06/16/07/12/taipei-101-2408050_150.jpg,https://pixabay.com/photos/taipei-101-city-tall-building-2408050/,2408050,3935666,yuen235,3,2921,1491,"taipei 101, city, tall building",low,0.0010270455323519343,0.5104416295789114
https://cdn.pixabay.com/photo/2013/10/29/06/15/atlanta-202190_150.jpg,https://pixabay.com/photos/atlanta-downtown-skyline-urban-202190/,202190,78124,slewisg,7,5105,2521,"atlanta, downtown, nature",low,0.0013712047012732615,0.4938295788442703
https://cdn.pixabay.com/photo/2015/05/27/07/02/buildings-786009_150.jpg,https://pixabay.com/photos/buildings-city-architecture-urban-786009/,786009,1062311,tarjona,11,4014,1987,"buildings, city, blue sky",low,0.0027404085700049826,0.4950174389636273
https://cdn.pixabay.com/photo/2017/07/05/18/45/city-2475627_150.jpg,https://pixabay.com/photos/city-condo-condominium-modern-2475627/,2475627,2493281,DevoKit,8,3859,2282,"city, condo, nature",low,0.0020730759264058047,0.5913449080072558
